,Unnamed: 0,file,speaker,noise,codec,snr,kbps,wer
48,0,121-121726-0000,speaker_2,silence.wav,mp3,10,128,0.1764705882352941
49,0,61-70968-0000,speaker_1,park.wav,mp3,20,16,0.1176470588235294
50,0,121-121726-0000,speaker_2,park.wav,opus,10,32,1.3529411764705883
51,0,61-70968-0000,speaker_1,silence.wav,opus,10,16,0.0
52,0,61-70968-0000,speaker_1,silence.wav,opus,10,64,0.0
53,0,121-121726-0000,speaker_2,silence.wav,opus,10,32,0.1764705882352941
54,0,121-121726-0000,speaker_2,meeting.wav,opus,20,16,0.1176470588235294
55,0,121-121726-0000,speaker_2,silence.wav,opus,10,8,0.1764705882352941
56,0,121-121726-0000,speaker_2,meeting.wav,opus,20,64,0.1176470588235294
57,0,61-70968-0000,speaker_1,meeting.wav,opus,20,128,0.1176470588235294
58,0,121-121726-0000,speaker_2,meeting.wav,opus,10,8,2.411764705882353
59,0,61-70968-0000,speaker_1,meeting.wav,opus,20,8,0.1176470588235294
60,0,121-121726-0000,speaker_2,meeting.wav,opus,20,32,0.1176470588235294
61,0,121-121726-0000,speaker_2,silence.wav,opus,10,64,0.1176470588235294
62,0,121-121726-0000,speaker_2,silence.wav,opus,10,16,0.1764705882352941
63,0,121-121726-0000,speaker_2,park.wav,opus,10,16,1.4705882352941178
64,0,61-70968-0000,speaker_1,silence.wav,opus,10,32,0.1176470588235294
65,0,121-121726-0000,speaker_2,park.wav,opus,10,64,1.3529411764705883
66,0,61-70968-0000,speaker_1,park.wav,opus,10,128,0.8823529411764706
67,0,61-70968-0000,speaker_1,park.wav,opus,20,8,0.0
68,0,121-121726-0000,speaker_2,park.wav,opus,20,8,0.6470588235294118
69,0,61-70968-0000,speaker_1,park.wav,opus,20,32,0.1176470588235294
70,0,61-70968-0000,speaker_1,park.wav,opus,10,8,0.9411764705882352
71,0,121-121726-0000,speaker_2,meeting.wav,opus,10,32,1.0
72,0,61-70968-0000,speaker_1,meeting.wav,opus,10,32,6.588235294117647
73,0,61-70968-0000,speaker_1,park.wav,opus,20,128,0.1176470588235294
74,0,121-121726-0000,speaker_2,park.wav,opus,10,8,1.588235294117647
75,0,121-121726-0000,speaker_2,meeting.wav,opus,10,128,1.0
76,0,61-70968-0000,speaker_1,meeting.wav,opus,20,32,0.1176470588235294
77,0,121-121726-0000,speaker_2,park.wav,opus,20,64,0.1176470588235294
78,0,121-121726-0000,speaker_2,park.wav,opus,10,128,1.6470588235294117
79,0,61-70968-0000,speaker_1,park.wav,opus,10,32,0.8823529411764706
80,0,121-121726-0000,speaker_2,park.wav,opus,20,16,0.1176470588235294
81,0,61-70968-0000,speaker_1,park.wav,opus,10,16,0.9411764705882352
82,0,61-70968-0000,speaker_1,meeting.wav,opus,10,128,0.8235294117647058
83,0,121-121726-0000,speaker_2,meeting.wav,opus,20,8,0.1764705882352941
84,0,61-70968-0000,speaker_1,silence.wav,opus,10,128,0.0
85,0,121-121726-0000,speaker_2,park.wav,opus,20,32,0.1176470588235294
86,0,121-121726-0000,speaker_2,meeting.wav,opus,20,128,0.1176470588235294
87,0,61-70968-0000,speaker_1,silence.wav,opus,10,8,0.0
88,0,61-70968-0000,speaker_1,meeting.wav,opus,10,8,0.8823529411764706
89,0,61-70968-0000,speaker_1,park.wav,opus,10,64,0.9411764705882352
90,0,121-121726-0000,speaker_2,park.wav,opus,20,128,0.1176470588235294
91,0,61-70968-0000,speaker_1,meeting.wav,opus,20,64,0.1176470588235294
92,0,61-70968-0000,speaker_1,meeting.wav,opus,20,16,0.1176470588235294
93,0,61-70968-0000,speaker_1,meeting.wav,opus,10,16,1.1176470588235294
94,0,61-70968-0000,speaker_1,meeting.wav,opus,10,64,0.8235294117647058
95,0,121-121726-0000,speaker_2,meeting.wav,opus,10,64,1.0
96,0,121-121726-0000,speaker_2,meeting.wav,opus,10,16,1.0
97,0,61-70968-0000,speaker_1,park.wav,opus,20,64,0.1176470588235294
98,0,121-121726-0000,speaker_2,silence.wav,opus,10,128,0.1764705882352941
99,0,61-70968-0000,speaker_1,park.wav,opus,20,16,0.1176470588235294
100,0,121-121726-0000,speaker_2,park.wav,opus_speech,10,32,1.3529411764705883
101,0,61-70968-0000,speaker_1,silence.wav,opus_speech,10,16,0.1176470588235294
102,0,61-70968-0000,speaker_1,silence.wav,opus_speech,10,64,0.1176470588235294
103,0,121-121726-0000,speaker_2,silence.wav,opus_speech,10,32,0.1764705882352941
104,0,121-121726-0000,speaker_2,meeting.wav,opus_speech,20,16,0.1176470588235294
105,0,121-121726-0000,speaker_2,silence.wav,opus_speech,10,8,0.1176470588235294
106,0,121-121726-0000,speaker_2,meeting.wav,opus_speech,20,64,0.1176470588235294
107,0,61-70968-0000,speaker_1,meeting.wav,opus_speech,20,128,0.1176470588235294
108,0,121-121726-0000,speaker_2,meeting.wav,opus_speech,10,8,1.0
109,0,61-70968-0000,speaker_1,meeting.wav,opus_speech,20,8,0.1176470588235294
110,0,121-121726-0000,speaker_2,meeting.wav,opus_speech,20,32,0.1176470588235294
111,0,121-121726-0000,speaker_2,silence.wav,opus_speech,10,64,0.1764705882352941
112,0,121-121726-0000,speaker_2,silence.wav,opus_speech,10,16,0.1764705882352941
113,0,121-121726-0000,speaker_2,park.wav,opus_speech,10,16,1.2352941176470589
114,0,61-70968-0000,speaker_1,silence.wav,opus_speech,10,32,0.1176470588235294
115,0,121-121726-0000,speaker_2,park.wav,opus_speech,10,64,2.5294117647058822
116,0,61-70968-0000,speaker_1,park.wav,opus_speech,10,128,0.8823529411764706
117,0,61-70968-0000,speaker_1,park.wav,opus_speech,20,8,0.1176470588235294
118,0,121-121726-0000,speaker_2,park.wav,opus_speech,20,8,0.1176470588235294
